Day,Cases,Susceptible
113,1177,332617
112,1175,332619
111,1171,332623
110,1171,332623
109,1168,332626
108,1167,332627
107,1163,332631
106,1162,332632
105,1159,332635
104,1158,332636
103,1158,332636
102,1157,332637
101,1157,332637
100,1157,332637
99,1155,332639
98,1152,332642
97,1149,332645
96,1148,332646
95,1146,332648
94,1142,332652
93,1140,332654
92,1140,332654
91,1137,332657
90,1137,332657
89,1137,332657
88,1135,332659
87,1135,332659
86,1133,332661
85,1132,332662
84,1129,332665
83,1129,332665
82,1128,332666
81,1128,332666
80,1125,332669
79,1124,332670
78,1121,332673
77,1118,332676
76,1116,332678
75,1113,332681
74,1112,332682
73,1110,332684
72,1108,332686
71,1105,332689
70,1097,332697
69,1091,332703
68,1081,332713
67,1074,332720
66,1070,332724
65,1066,332728
64,1059,332735
63,1051,332743
62,1045,332749
61,1043,332751
60,1042,332752
59,1035,332759
58,1033,332761
57,1028,332766
56,1019,332775
55,1010,332784
54,1006,332788
53,996,332798
52,984,332810
51,973,332821
50,958,332836
49,945,332849
48,932,332862
47,915,332879
46,888,332906
45,862,332932
44,836,332958
43,810,332984
42,786,333008
41,755,333039
40,742,333052
39,725,333069
38,689,333105
37,667,333127
36,652,333142
35,615,333179
34,601,333193
33,579,333215
32,557,333237
31,533,333261
30,503,333291
29,471,333323
28,439,333355
27,405,333389
26,391,333403
25,372,333422
24,346,333448
23,317,333477
22,290,333504
21,264,333530
20,239,333555
19,230,333564
18,210,333584
17,194,333600
16,178,333616
15,157,333637
14,133,333661
13,111,333683
12,93,333701
11,85,333709
10,65,333729
9,50,333744
8,43,333751
7,31,333763
6,29,333765
5,27,333767
4,20,333774
3,16,333778
2,10,333784
1,8,333786
