Day,Cases
113,1101
112,1096
111,1090
110,1089
109,1087
108,1086
107,1086
106,1086
105,1085
104,1084
103,1082
102,1081
101,1080
100,1078
99,1076
98,1075
97,1073
96,1068
95,1066
94,1059
93,1055
92,1049
91,1047
90,1044
89,1044
88,1039
87,1037
86,1031
85,1027
84,1025
83,1022
82,1019
81,1019
80,1019
79,1018
78,1015
77,1014
76,1012
75,1012
74,1010
73,1005
72,1005
71,997
70,989
69,985
68,981
67,975
66,972
65,971
64,966
63,960
62,957
61,950
60,946
59,939
58,918
57,901
56,876
55,862
54,853
53,843
52,834
51,809
50,797
49,786
48,760
47,746
46,736
45,731
44,717
43,700
42,685
41,668
40,660
39,653
38,633
37,617
36,605
35,591
34,571
33,543
32,529
31,518
30,485
29,451
28,397
27,371
26,348
25,321
24,300
23,270
22,248
21,220
20,196
19,176
18,161
17,140
16,125
15,110
14,98
13,79
12,67
11,57
10,52
9,40
8,27
7,19
6,13
5,8
4,5
3,2
2,2
1,2
